SCHEM_term	CHEBIID	CHEBI_name
4-Phenylbutyric acid	41500	4-phenylbutyric acid
4-Trimethylammoniobutanal	18020	4-trimethylammoniobutanal
4-Trimethylammoniobutanoate	1941	4-(trimethylammonio)butanoic acid
5'-Guanylic acid	17345	GMP
5'-Methylthioadenosine	17509	5'-S-methyl-5'-thioadenosine
5,10-methenyltetrahydrofolate polyglutamate	65050	5,10-methenyltetrahydrofolate polyglutamate polymer
5,10-Methylenetetrahydrofolate	12071	5,10-methylenetetrahydrofolate(2-)
5,10-Methylenetetrahydrofolate polyglutamate	61443	5,10-methylenetetrahydrofolate polyglutamate polymer
5,6,7,8-Tetrahydrobiopterin	15372	5,6,7,8-tetrahydrobiopterin
5,6-Dihydrothymine	27468	5,6-dihydrothymine
5-Azacytosine	72474	5-azacytosine
5-Carboxamidotryptamine	48292	5-carboxamidotryptamine
5-fluorouracil	46345	5-fluorouracil
5-HETE	60943	5-HETE
5-Hydroxyindoleacetaldehyde	50157	(5-hydroxyindol-3-yl)acetaldehyde
5-Methyltetrahydrofolate	20612	5-methyltetrahydrofolate
6-Aminonicotinamide	74514	6-aminonicotinamide
6-Hydroxydopa	72753	6-hydroxy-L-dopa
6-hydroxypaclitaxel	63859	6-hydroxypaclitaxel
6-Ketoprostaglandin F1alpha	28158	6-oxo-prostaglandin F1alpha
6-Mercaptopurine	50667	mercaptopurine
6-Phosphonoglucono-delta-lactone	16938	6-O-phosphono-D-glucono-1,5-lactone
6beta-Hydroxytestosterone	34477	6beta-hydroxytestosterone
7-Dehydrocholesterol	17759	cholesta-5,7-dien-3beta-ol
7-Ketocholesterol	64294	7-ketocholesterol
8-Bromo cyclic adenosine monophosphate	64211	8-bromo-3',5'-cyclic AMP
8-Bromocyclic GMP	64108	8-bromo-3',5'-cyclic GMP
8-Hydroxy-2-(di-n-propylamino)tetralin	73364	8-OH-DPAT
8-Hydroxydeoxyguanosine 5'-monophosphate	63223	8-oxo-dGMP
8-Hydroxyguanine	52617	7,8-dihydro-8-oxoguanine
8-Isoprostane	34505	8-epi-prostaglandin F2alpha
8-oxo-7,8-dihydro-2'-deoxyguanosine	40304	8-hydroxy-2'-deoxyguanosine
8-Oxo-7-hydrodeoxyguanosine	40304	8-hydroxy-2'-deoxyguanosine
8-Oxodeoxyguanosine triphosphate	63220	8-oxo-dGTP
9,10-Dimethyl-1,2-benzanthracene	254496	7,12-dimethyltetraphene
9-cis,11-trans-Octadecadienoate	17539	9-cis,11-trans-octadecadienoate
9-Deoxy-9,10-didehydro-12,13-didehydro-13,14-dihydroprostaglandin D2	28130	13,14-dihydro-Delta(12)-prostaglandin J2
9-Deoxy-delta-9-prostaglandin D2	27485	prostaglandin J2
Ac-DEVD-CHO	59385	Ac-Asp-Glu-Val-Asp-H
Acarbose	2376	acarbose
Aceneuramic acid	17012	N-acetylneuraminic acid
Acetaldehyde	15343	acetaldehyde
Acetaminophen	46195	paracetamol
Acetanilide	28884	N-phenylacetamide
Acetazolamide	27690	acetazolamide
Acetic acid	15366	acetic acid
Acetic acid, ion(1-)	30089	acetate
acetoacetate	13705	acetoacetate
Acetoacetic acid	15344	acetoacetic acid
acetoacetyl-CoA	15345	acetoacetyl-CoA
Acetovanillone	2781	apocynin
Acetyl coenzyme A	15351	acetyl-CoA
Acetyl-CoA	15351	acetyl-CoA
Acetylcholine	15355	acetylcholine
Acetylcysteine	22198	acetylcysteine
Acetylglucosamine	28009	N-acetyl-beta-D-glucosamine
Acetylhydrazine	2422	acetohydrazide
Acetylleucyl-leucyl-norleucinal	2423	acetylleucyl-leucyl-norleucinal
Acetylmuramyl-alanyl-isoglutamine	59414	muramyl dipeptide
Acivicin	74545	acivicin
Acrolein	15368	acrolein
Actinomycin	15369	actinomycin
Acyclovir	2453	acyclovir
Acyl-CoA	17984	acyl-CoA
Adenine	16708	adenine
Adenosine	16335	adenosine
Adenosine 5'-O-(3-thiotriphosphate)	27575	adenosine 5'-[gamma-thio]triphosphate
Adenosine diphosphate ribose	37463	ADP-D-ribose 2'-phosphate
Adenosine phosphate	22256	adenosine phosphate
Adenosine triphosphate	15422	ATP
Adenosine-5'-(N-ethylcarboxamide)	73284	N-ethyl-5'-carboxamidoadenosine
ADP	73342	Ala-Asp-Pro
Aflatoxin B1	2504	aflatoxin B1
Agmatine	17431	agmatine
Alanine	16977	L-alanine
Albuterol	2549	albuterol
Alcohol	30879	alcohol
Aldosterone	30834	aldosterone hemiacetal
Alendronate sodium	2566	alendronate sodium
Aliskiren	601027	aliskiren
Alitretinoin	50648	9-cis-retinoic acid
Allicin	28411	allicin
Allopurinol	40279	allopurinol
alpha-Amanitin	37415	alpha-amanitin
alpha-Carotene	28425	alpha-carotene
alpha-D-Glucose	17925	alpha-D-glucose
alpha-D-glucose 6-phosphate	17665	alpha-D-glucose 6-phosphate
alpha-Estradiol	17160	17alpha-estradiol
alpha-Ketobutyric acid	30831	2-oxobutanoic acid
alpha-Ketoglutaric acid	30915	2-oxoglutaric acid
Alprostadil	15544	prostaglandin E1
Alum	74768	aluminium sulfate (anhydrous)
Aluminum	28984	aluminium atom
Am 580	64210	4-\{[(5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino\}benzoic acid
Amantadine	2618	amantadine
Amide	29337	azanide
Amiloride	2639	amiloride
amino acid	33704	alpha-amino acid
Aminoacetone	17906	aminoacetone
Aminoglutethimide	2654	aminoglutethimide
Aminohippuric acid	104011	p-aminohippuric acid
Amiodarone	2663	amiodarone
Amitrole	40036	amitrole
Ammonia	16134	ammonia
Ammonium chloride	31206	ammonium chloride
AMP	28971	ampicillin
Amphetamine	2679	amphetamine
Amygdalin	27613	amygdalin
Anandamide	2700	anandamide
Anastrozole	2704	anastrozole
Androgen	50113	androgen
Androstenedione	16422	androst-4-ene-3,17-dione
Androstenol	40933	5alpha-androst-16-en-3alpha-ol
Androsterone	16032	androsterone
Angiotensin	48433	angiotensin
Angiotensin ii	2719	Ile(5)-angiotensin II
Angiotensin II (1-7)	55438	Ile(5)-angiotensin II (1-7)
Anisomycin	338412	(-)-anisomycin
Anthracycline	48120	anthracycline
Anthranilic acid	30754	anthranilic acid
Antigens	59132	antigen
Antimycin A	22584	antimycin A
Antimycin A1	22584	antimycin A
antioxidant	22586	antioxidant
Aphidicolin	2766	aphidicolin
Apigenin	18388	apigenin
APPC	61718	p-aminophenylphosphocholine
Arachidic acid	28822	arachidic acid
Arachidonic acid	15843	arachidonic acid
Arachidonyl-coenzyme A	15514	arachidonoyl-CoA
Arecoline	2814	arecoline
Argatroban	48720	argatroban
Arginine	16467	L-arginine
Arsenic	27563	arsenic atom
Arsenic oxide	50527	arsenic oxide
Arsenic trioxide	30621	diarsenic trioxide
Arsenite	29866	arsenite(3-)
Artemisinin	223316	(+)-artemisinin
Asbestos	46661	asbestos
Ascorbic acid	29073	L-ascorbic acid
Asparagine	22653	asparagine
Aspartic acid D-form	17364	D-aspartic acid
Aspirin	15365	acetylsalicylic acid
Astaxanthine	40968	astaxanthin
Atazanavir	37924	atazanavir
Atenolol	55352	(R)-atenolol
Atorvastatin	39548	atorvastatin
ATP	15422	ATP
Atropine	16684	atropine
Azacitidine	2038	5-azacytidine
Azaserine	74846	azaserine
Azathioprine	2948	azathioprine
Azetidine	30968	azetidine
Azetidyl-2-carboxylic acid	6198	(S)-azetidine-2-carboxylic acid
Azide	40910	azide
Azithromycin	2955	azithromycin
Aztreonam	161680	aztreonam
Bacitracin	28669	bacitracin
Bafilomycin A1	22689	bafilomycin A1
Baicalein	2979	baicalein
Baicalin	61283	baicalin(1-)
Barium	32594	barium atom
Beclomethasone	3001	beclomethasone
Benfotiamine	41039	benfotiamine
Benomyl	3015	benomyl
Benzbromarone	3023	benzbromarone
Benzene	16716	benzene
Benzo(a)pyrene	29865	benzo[a]pyrene
Benzo(a)pyrene diolepoxide I	30614	benzo[a]pyrene diol epoxide I
Benzoquinone	16509	1,4-benzoquinone
Benzyloxycarbonylleucyl-leucyl-leucine aldehyde	75142	N-benzyloxycarbonyl-L-leucyl-L-leucyl-L-leucinal
Berberine	16118	berberine
beta-Alanine	16958	beta-alanine
beta-Aminopropion aldehyde	27608	beta-Aminopropion aldehyde
beta-D-Galactose	27667	beta-D-galactose
beta-D-Galactoside	28034	beta-D-galactoside
beta-Elemene	62855	(-)-beta-elemene
Betaine	17750	glycine betaine
Betamethasone	3077	betamethasone
Betamethasone valerate	31277	betamethasone valerate
Bexarotene	50859	bexarotene
BEZ235	71952	dactolisib
Bezafibrate	47612	bezafibrate
Bicalutamide	3090	bicalutamide
Bicuculline	3092	bicuculline
Bile salt	3098	bile acid
Bilirubin	16990	bilirubin
Biliverdine	17033	biliverdin
Biotin	57586	biotinate
Bisphenol A	33216	bisphenol A
Bivalirudin	59173	bivalirudin
Bleomycin	3139	bleomycin A2
Bortezomib	52717	bortezomib
Bosentan	51450	bosentan
Bradykinin	3165	bradykinin
Branched chain fatty acid	35819	branched-chain fatty acid
Brefeldin A	48080	brefeldin A
Bromocriptine	3181	bromocriptine
Bucladesine	50095	bucladesine
Budesonide	3207	budesonide
Bumetanide	3213	bumetanide
Bupivacaine	3215	bupivacaine
Butanedioic acid, ion(2-)	30031	succinate(2-)
Butanoyl-CoA	57371	butyryl-CoA(4-)
Buthionine sulfoximine	28714	S-butyl-DL-homocysteine (S,R)-sulfoximine
Butylated hydroxytoluene	34247	2,6-di-tert-butyl-4-methylphenol
Butyric acid	30772	butyric acid
Cadaverine	58384	cadaverine(2+)
Cadmium	22977	cadmium atom
Cadmium chloride	35456	cadmium dichloride
Caffeic acid phenethyl ester	8062	phenethyl caffeate
Caffeine	27732	caffeine
Calcidiol	17933	calcidiol
Calcifediol anhydrous	17933	calcidiol
Calcipotriene	50749	calcipotriol
Calcitonin	3306	calcitonin
Calcitriol	17823	calcitriol
Calcitroic acid	47828	calcitroic acid
Calcium	22984	calcium atom
Calcium chloride	3312	calcium dichloride
Camptothecin	27656	camptothecin
Candesartan	3347	candesartan
Candoxatril	3353	candoxatril
Cantharidin	64213	cantharidin
Capecitabine	31348	capecitabine
Caproic acid	30776	caproic acid
Capsaicin	3374	capsaicin
Captopril	3380	captopril
Carbachol	3385	carbachol
Carbamazepine	3387	carbamazepine
Carbamic acid, ion(1-)	13941	carbamate
Carbofuran	34611	carbofuran
Carbon Dioxide	16526	carbon dioxide
Carbon monoxide	17245	carbon monoxide
Carbon tetrachloride	27385	tetrachloromethane
Carbonyl cyanide m-chlorophenyl hydrazone	3259	CCCP
Carbonyl cyanide p-trifluoromethoxyphenylhydrazone	75458	carbonyl cyanide p-trifluoromethoxyphenylhydrazone
Carboplatin	31355	carboplatin
Cardenolide	71620	cardenolide
Cardiolipin	28494	cardiolipin
Carmustine	3423	carmustine
Carnitine	16347	(R)-carnitine
Carrageenan	3435	carrageenan
Castanospermine	27860	castanospermine
Catechol	18135	catechol
catecholamine	33567	catecholamine
Celecoxib	41423	celecoxib
Cephaloridine	3537	cefaloridine
Ceramide	17761	ceramide
Ceramide 1-phosphate	16197	ceramide 1-phosphate
Cerium chloride	35458	cerium trichloride
Cerivastatin	3558	cerivastatin
cerulein	59219	ceruletide
Cerulenin	171741	cerulenin
Ceruletide	59219	ceruletide
Cesium	30514	caesium atom
Cgs 21680	73283	CGS-21680
Chenodeoxycholate	36234	chenodeoxycholate
Chenodiol	16755	chenodeoxycholic acid
Chitin	17029	chitin
Chloramphenicol	17698	chloramphenicol
Chlordecone	16548	chlordecone
Chloride	17996	chloride
Chloride(1-)	17996	chloride
Chloroquine	3638	chloroquine
Chlorothiazide	3640	chlorothiazide
Chlorpheniramine	52010	chlorphenamine
Chlorpromazine	3647	chlorpromazine
Chlorpyrifos	34631	chlorpyrifos
Cholecalciferol	28940	calciol
Cholesta-5,7,24-trien-3beta-ol	27910	7-dehydrodesmosterol
Cholesta-7,24-dien-3-ol	16290	5alpha-cholesta-7,24-dien-3beta-ol
Cholesterol	16113	cholesterol
Cholesterol ester	17002	cholesterol ester
cholesterol sulfate	41321	cholesterol sulfate
Cholic acid	16359	cholic acid
Choline	15354	choline
Choline alfoscerate	55397	L-alpha-glycerophosphocholine
Chondroitin	16137	chondroitin D-glucuronate
Chondroitin 6-sulfate	18296	chondroitin 6'-sulfate
Chondroitin sulfate A	18250	chondroitin 4'-sulfate
Chondroitin sulfates	37397	chondroitin sulfate
Chromium	28073	chromium atom
Chromium hexavalent ion	33007	chromium(6+)
Chrysarobin	3686	chrysophanol-9-anthrone
Chrysin	75095	chrysin
Ciglitazone	64227	ciglitazone
Cilostazol	31401	cilostazol
Cimetidine	3699	cimetidine
Cinnamaldehyde	16731	cinnamaldehyde
Ciprofibrate	50867	ciprofibrate
Ciprofloxacin	100241	ciprofloxacin
cis,cis-3,6-Dodecadienoyl-CoA	28002	cis,cis-dodeca-3,6-dienoyl-CoA
Cisplatin	27899	cisplatin
Citrate	50744	citrate salt
Citric acid	30769	citric acid
Citrulline	16349	L-citrulline
Cl-	17996	chloride
Clarithromycin	3732	clarithromycin
Clenbuterol	174690	clenbuterol
Clofibrate	3750	clofibrate
Clofibric acid	34648	clofibric acid
Clomipramine	47780	clomipramine
Clonidine	46631	clonidine
Clorgiline	3763	clorgyline
Clozapine	3766	clozapine
CO2	16526	carbon dioxide
CoA-SH	15346	coenzyme A
Cobalt	27638	cobalt atom
Cobalt chloride	35696	cobalt dichloride
Cobaltous chloride	35696	cobalt dichloride
Cocaine	27958	cocaine
Cocarboxylase	18290	thiamine(1+) diphosphate chloride
Coenzyme A	15346	coenzyme A
Colchicine	27882	(S)-colchicine
Colforsin	42471	forskolin
Copper	28694	copper atom
Corticosteroids	50858	corticosteroid
Corticosterone	16827	corticosterone
Corticotropin	3892	corticotropin
Corticotropin-releasing hormone	65311	corticotropin-releasing hormone
Cortisol	17650	cortisol
Cortisone	16962	cortisone
Cortodoxone	28324	11-deoxycortisol
Cotinine	68641	(-)-cotinine
Coumarin	28794	coumarin
Coumestrol	3908	coumestrol
Creatine	16919	creatine
Creatinine	16737	creatinine
Cromolyn	59773	cromoglycic acid
Crotonoyl-CoA	57332	crotonoyl-CoA(4-)
Cupric chloride anhydrous	49553	copper(II) chloride
Curcumin	3962	curcumin
Cyanide	17514	cyanide
Cyanoginosin LR	6925	microcystin-LR
Cyclic ADP-ribose	31445	cyclic ADP-ribose
cyclic AMP	17489	3',5'-cyclic AMP
Cyclic GMP	16356	3',5'-cyclic GMP
Cyclodextrin	23456	cyclodextrin
Cycloheximide	27641	cycloheximide
Cyclohexylamine	15773	cyclohexylamine
Cyclophosphamide	4026	cyclophosphamide hydrate
Cyclopiazonic acid	22450	(6aR,11aS,11bR)-10-acetyl-11-hydroxy-7,7-dimethyl-2,6,6a,7,11a,11b-hexahydro-9H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-9-one
Cycloserine	40009	D-cycloserine
Cyclosporine	4031	cyclosporin A
Cyclothiazide	31448	cyclothiazide
Cyfluthrin	4034	cyfluthrin
Cyproterone acetate	50743	cyproterone acetate
Cysteamine	17141	cysteamine
Cysteine	35237	cysteine zwitterion
Cytarabine	28680	cytarabine
Cytidine triphosphate	17677	CTP
Cytochalasin B	23527	cytochalasin B
Cytochalasin D	529996	cytochalasin D
Cytochrome b	38551	cytochrome b
Cytochrome C	18070	cytochrome c
Cytochrome P-450	38559	cytochrome P450
Cytosine	16040	cytosine
D-Fructose	48095	keto-D-fructose
D-Fructose 1,6-bisphosphate	16905	D-fructose 1,6-bisphosphate
D-Fructose 2,6-bisphosphate	28602	beta-D-fructofuranose 2,6-bisphosphate
D-Fructose 6-phosphate	15946	D-fructose 6-phosphate
D-Galactose	12936	D-galactose
D-Glyceraldehyde 3-phosphate	59776	D-glyceraldehyde 3-phosphate(2-)
D-Lactic acid	42111	(R)-lactic acid
D-Ribose 1-phosphate	35425	D-ribose 1-phosphate
D-Tagatose	16443	D-tagatose
D-Xylulose 5-phosphate	57737	D-xylulose 5-phosphate(2-)
Dactinomycin	27666	actinomycin D
Daidzein	28197	daidzein
Dantrolene	4317	dantrolene
DAPM	32506	4,4'-diaminodiphenylmethane
Daunorubicin	64677	daunorubicin(1+)
DDT	16130	DDT
Debrisoquine	34665	debrisoquin
Decanoyl-coenzyme A	28493	decanoyl-CoA
Decitabine	50131	5-aza-2'-deoxycytidine
Deferoxamine	4356	desferrioxamine B
Deferoxamine mesylate	31460	desferrioxamine B mesylate
Dehydroepiandrosterone	28689	dehydroepiandrosterone
Dehydroepiandrosterone sulfate	57905	3beta-hydroxyandrost-5-en-17-one 3-sulfate(1-)
delta-Aminolevulinic acid	17549	5-aminolevulinic acid
Deltamethrin	4388	deltamethrin
Deoxycholic acid	28834	deoxycholic acid
Deoxycytidine	15698	2'-deoxycytidine
Deoxycytidine monophosphate	15918	dCMP
Deoxyglucose	23623	deoxyglucose
Deoxyguanosine	17172	2'-deoxyguanosine
Deoxyguanosine triphosphate	16497	dGTP
Deoxyinosine	28997	2'-deoxyinosine
Deoxyuridine	16450	2'-deoxyuridine
Deoxyuridine triphosphate	17625	dUTP
Depsipeptide	23643	depsipeptide
Dermatan	4439	dermatan
Dermatan sulfate	18376	dermatan sulfate
Desipramine	47781	desipramine
Desmosine	37628	desmosine
Desmosterol	17737	desmosterol
Desoxycorticosterone	16973	11-deoxycorticosterone
Dexamethasone	41879	dexamethasone
Dextran 40	52071	dextran
Dextrorphan	29133	dextrorphan
Dextrose	17634	D-glucose
Diacylglycerol	18035	diglyceride
diacylglycerols	18035	diglyceride
Diamide	48958	1,1'-azobis(N,N-dimethylformamide)
