#[Header]										
#Keyword=SCHEM										
#NameString=Selventa Legacy Chemical Names										
#DomainString=Chemical										
#SpeciesString=all										
#DescriptionString=Selventa names for chemicals, drugs, and other molecule abundances. It is not recommended that new BEL Documents include reference to any of these legacy namespaces.										
#VersionString=20140225										
#[Values]										
ID	ALTIDS	LABEL	SYNONYMS	DESCRIPTION	TYPE	SPECIES	XREF	OBSOLETE	PARENTS	CHILDREN
A0093		19-Oxo-11-deoxycorticosterone acetate			A		MESHC:C040168			
A0094		"1D-myo-Inositol 1,3,4,5-tetrakisphosphate"			A		CHEBI:16783			
A0095		1H-Imidazole-4-acetaldehyde			A		CHEBI:27398			
A0096		"1H-Pyrazole-1-carboxamide, 3(or 5)-methyl-"			A					
A0097		"1S,2S trans methylstyrene oxide"			A					
A0098		"1alpha,24-Dihydroxyvitamin D3"			A					
A0099		"2',3'-Dideoxycytidine monophosphate"			A		MESHC:C101329			
A0100		"2',5'-Dideoxyadenosine"			A		MESHC:C021008			
A0101		2'-Deoxy-5'-adenosine monophosphate			A		CHEBI:17713			
A0102		2'-Deoxyadenosine			A		CHEBI:17256			
A0103		2'-Deoxyadenosine triphosphate			A		MESHC:C026600			
A0104		2'-Deoxycytidine 5'-triphosphate			A		CHEBI:16311			
A0105		2'-Deoxyguanosine 5'-phosphate			A		CHEBI:16192			
A0106		"2,2'-Dipyridyl"			A		CHEBI:30351			
A0107		"2,2,6,6-Tetramethyl-4-piperidinol-N-oxyl"			A		MESHC:C001803			
A0108		"2,2-Bis(4-glycidyloxyphenyl)propane"			A		MESHC:C019273			
A0109		"2,3,3',4,4'-Pentachlorobiphenyl"			A		MESHC:C067940			
A0110		"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)"			A					
A0111		"2,3-Bis(palmitoyloxy)-2-propyl-1-palmitoylcysteine"			A		MESHC:C069172			
A0112		"2,3-Dimethoxy-1,4-naphthoquinone"			A		CHEBI:64215			
A0113		"2,4(1H,3H)-Pyridinedione, 3,3-diethyl-1-(methylpiperazine)-"			A					
A0114		"2,4,6-Trichlorophenyl 4-nitrophenyl ether"			A		MESHC:C010422			
A0115		"2,4-Decadienoyl-coenzyme A"			A		MESHC:C040351			
A0116		"2,5-Di-tert-butylhydroquinone"			A		MESHC:C019359			
A0117		"2-(2,3-Dicarboxycyclopropyl)glycine"			A		MESHC:C082313			
A0118		2-(2-Aminoethyl)thiazole			A		MESHC:C029345			
A0119		2-(4-benzylpiperazin-1-yl)-N-[(2-hydroxy-3-prop- 2-enyl-phenyl)methylideneamino]acetamide			A					
A0120		2-(Allylthio)pyrazine			A		MESHC:C104935			
A0121		2-(Ethylthio)ethanol			A					
A0122		2-(alpha-Hydroxyethyl)thiamine diphosphate			A		CHEBI:978			
A0123		2-Acetylaminofluorene			A		CHEBI:17356			
A0124		2-Acylglycerol			A		CHEBI:17389			
A0125		"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"			A		MESHC:C049584			
A0126		"2-Amino-4,5-diphenyloxazole"			A		MESHC:C027022			
A0127		"2-Aminobicyclo(2,2,1)heptane-2-carboxylic acid"			A		MESHC:C006504			
A0128		2-Aminoisobutyric acid			A		CHEBI:27971			
A0129		2-Arachidonoylglycerol			A		CHEBI:52392			
A0130		2-Benzoquinone			A		CHEBI:17253			
A0131		"2-Butenedioic acid (E)-, ion(2-)"			A					
A0132		2-Chloroethyl ethyl sulfide			A		MESHC:C031278			
A0133		2-Chloroethylene oxide			A		MESHC:C015061			
A0134		2-Deoxy-D-ribose 1-phosphate			A		CHEBI:28542			
A0135		2-Ethylhexanoic acid			A		MESHC:C040668			
A0136		2-Formyl-5-(hydroxymethyl)pyrrole-1-norleucine			A		CHEBI:604731			
A0137		2-Hydroxybutyric acid			A		CHEBI:1148			
A0138		2-Hydroxyoctanoic acid			A					
A0139		2-Methoxyestradiol			A		CHEBI:28955			
A0140		2-Methylcitric acid			A		CHEBI:30835			
A0141		2-Nitrotoluene			A		CHEBI:33098			
A0142		"2-Nonenal, 4-hydroxy-"			A					
A0143		2-Oxoarginine			A					
A0144		2-Oxoglutarate			A		CHEBI:16810			
A0145		"2-Phenyl-4,4,5,5-tetramethylimidazoline-1-oxyl-3-oxide"			A		MESHC:C079391			
A0146		2-Phenylbutyric acid			A		MESHC:C039714			
A0147		2-Phospho-D-glycerate			A		CHEBI:58289			
A0148		2-Phosphoglycolate			A		CHEBI:19763			
A0149		2-dimethylthioethanol			A					
A0150		2-hydroxy-3-methylacyl CoA			A					
A0151		2-hydroxyethyl sulfide			A					
A0152		2-methyl Branched chain fatty acid			A					
A0153		2-methyl fatty aldehyde			A					
A0154		2-methylthioethylamine			A					
A0155		2-tert-Butylhydroquinone			A		MESHC:C018855			
A0156		2-trans-Dodecenoyl-CoA			A		CHEBI:15471			
A0157		20-Hydroxycholesterol			A		CHEBI:1296			
A0158		"20alpha,22beta dihydroxycholesterol"			A					
A0159		22(R)-Hydroxycholesterol			A					
A0160		22-Hydroxycholesterol			A		MESHC:C003585			
A0161		22beta-Hydroxycholesterol			A		CHEBI:67237			
A0162		"24,25-Epoxycholesterol"			A		MESHC:C028358			
A0163		24-Hydroxycholesterol			A		CHEBI:50515			
A0164		25-Hydroxycholesterol			A		CHEBI:42977			
A0165		27-Hydroxycholesterol			A		CHEBI:17703			
A0166		27-hydroxylated 7-ketocholesterol			A					
A0167		"2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R-cis)- (9CI)"			A					
A0168		"3',3'',5',5''-Tetrabromophenolphthalein"			A		MESHC:C018156			
A0169		"3',5'-Cyclic dAMP"			A		CHEBI:28074			
A0170		3'-methoxy-4'-nitroflavone			A		MESHC:C091768			
A0171		"3,3'-Diindolylmethane"			A		CHEBI:50182			
A0172		"3,3-Dimethylallyl pyrophosphate"			A		CHEBI:16057			
A0173		"3,4,3',4'-Tetrachlorobiphenyl"			A		CHEBI:1367			
A0174		"3,4-Dihydroxymandelaldehyde"			A		CHEBI:27852			
A0175		"3,4-Dihydroxymandelic acid"			A		CHEBI:27637			
A0176		"3,4-Dihydroxyphenylacetaldehyde"			A		CHEBI:27978			
A0177		"3,4-Dihydroxyphenylacetic acid"			A		CHEBI:41941			
A0178		"3,4-methylenedioxy-benzyl-amino-6-methoxyquinazoline"			A					
A0179		"3,5,9-Trioxo-4-phosphaheptacosan-1-aminium, 7-(acetyloxy)-4-hydroxy-N,N,N-trimethyl-, hydroxide, inner salt, 4-oxide, (R)-"			A					
A0180		"3,5-Dihydroxyphenylglycine"			A		MESHC:C079215			
A0181		"3,6-diaziridinyl-1,4-benzoquinone"			A		CHEBI:19363			
A0182		"3,9-Bis((ethylthio)methyl)-K-252a"			A		MESHC:C106592			
A0183		3-(1-Deoxyribofuranosyl)benzamide			A		MESHC:C076145			
A0184		3-(4-methylphenylsulfonyl)-2-propenenitrile			A		MESHC:C434003			
A0185		"3-(Cyclopentyloxy)-N-(3,5-dichloro-4-pyridyl)-4-methoxybenzamide"			A		MESHC:C087566			
A0186		3-Aminobenzamide			A		CHEBI:64042			
A0187		3-Aminobenzoic acid			A		CHEBI:42682			
A0188		3-Aminopropionaldehyde			A		CHEBI:18090			
A0189		3-Carboxy-1-hydroxypropyl-ThPP			A		CHEBI:1463			
A0190		3-Chloropropionyl-coenzyme A			A		MESHC:C046467			
A0191		3-Chlorotyrosine			A		CHEBI:53678			
A0192		3-Deazaadenosine			A		MESHC:C018258			
A0193		3-Deoxy-2-octulosonic acid(2)-lipid IV(A)			A		MESHC:C088602			
A0194		3-Deoxyglucosone			A		CHEBI:60777			
A0195		3-Glucosido-chenodeoxycholic acid			A		MESHC:C105602			
A0196		3-Hydroxy-5-cholestenoic acid			A		MESHC:C029435			
A0197		"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine"			A		CHEBI:15786			
A0198		3-Hydroxyacyl-CoA			A		CHEBI:65260			
A0199		3-Hydroxybutyric acid			A		CHEBI:20067			
A0200		3-Hydroxydecanoyl-coenzyme A			A		CHEBI:28325			
A0201		3-Hydroxyflavone			A		CHEBI:5078			
A0202		3-Hydroxyisobutyric acid			A		CHEBI:18064			
A0203		3-Hydroxykynurenamine			A		CHEBI:27421			
A0204		3-Hydroxyoctanoic acid			A		CHEBI:37098			
A0205		3-Hydroxyproline			A		CHEBI:64368			
A0206		3-Ketoacyl CoA			A					
A0207		3-Ketohexanoyl-coenzyme A			A		CHEBI:27648			
A0208		3-Methoxy-4-hydroxyphenylacetaldehyde			A		CHEBI:28111			
A0209		3-Methoxy-4-hydroxyphenylglycolaldehyde			A		CHEBI:27932			
A0210		3-Methoxytyramine			A		MESHC:C001746			
A0211		3-Methyladenine			A		CHEBI:38635			
A0212		3-Methylcholanthrene-1-one			A		MESHC:C052727			
A0213		3-Methyleneindolenine			A		CHEBI:63905			
A0214		3-Methylhistidine			A		CHEBI:70959			
A0215		3-Morpholinosydnonimine			A					
A0216		3-Nitropropionic acid			A		CHEBI:16348			
A0217		3-Nitrotyrosine			A		CHEBI:44454			
A0218		3-Oxocholan-24-oic acid			A		CHEBI:17639			
A0219		3-Oxodecanoyl-CoA			A		CHEBI:28528			
A0220		3-Oxododecanoyl-CoA			A		CHEBI:27868			
A0221		3-Oxooctanoyl-CoA			A		CHEBI:28264			
A0222		3-Oxopalmitoyl-CoA			A		CHEBI:15491			
A0223		3-Oxotetradecanoyl-CoA			A		CHEBI:28726			
A0224		3-Phospho-D-glycerate			A		CHEBI:58272			
A0225		3-Phospho-D-glyceroyl phosphate			A		CHEBI:16001			
A0226		3-Phosphoglycerate			A		CHEBI:17050			
A0227		3-Ureidoisobutyrate			A		CHEBI:74414			
A0228		"3-[3-butylsulfanyl-1-[(4-chlorophenyl)methyl]-5-propan-2-ylindol-2-yl]- 2,2-dimethylpropanoic acid"			A					
A0229		3-keto-4-hexenoyl-CoA			A					
A0230		3-ketosphinganine			A		CHEBI:46966			
A0231		3-methyl Branched chain fatty acid			A					
A0232		3-methylacyl CoA			A					
A0233		3-methylindole			A		CHEBI:9171			
A0234		3-trans-decenoyl-CoA			A		CHEBI:29126			
A0235		"3H-1,2-Dithiole-3-thione, 5-(1,1-dimethylethyl)-"			A					
A0236		"4'-Benzyloxy-3'-methoxy-7,8-benzoflavone"			A		MESHC:C047095			
A0237		"4,17beta-Dihydroxy-4-androstene-3-one"			A					
A0238		"4,4-dimethylcholesta-8(9),14,24-trien-3beta-ol"			A		CHEBI:17813			
A0239		"4,4-dimethylcholesta-8(9),24-dien-3beta-ol"			A		CHEBI:18364			
A0240		"4,4prime dihydroxy 3,3prime,5,5prime tetramethylbiphenyl"			A					
A0241		"4,5-Dimethoxy-2-nitrobenzyl-8-bromo-camp"			A		MESHC:C099977			
A0242		"4,6-Dihydroxyquinoline"			A		CHEBI:28799			
A0243		"4,6-Ethylidene glucose streptozotocin"			A		MESHC:C060308			
A0244		"4,8-Dihydroxyquinoline"			A		CHEBI:28883			
A0245		4-(2-Aminoethyl)benzenesulfonylfluoride			A		MESHC:C002010			
A0246		4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone			A		CHEBI:32692			
A0247		4-(Methylnitrosamino)-4-(3-pyridyl)butanal			A		MESHC:C047760			
A0248		"4-Amino-1,8-naphthalimide"			A		CHEBI:40071			
A0249		4-Aminobiphenyl			A		CHEBI:1784			
A0250		4-Aminobutyraldehyde			A		CHEBI:17769			
A0251		4-Aminophenylmercuriacetate			A		MESHC:C010024			
A0252		"4-Aminopyrazolo(3,4-d)pyrimidine"			A		MESHC:C004420			
A0253		"4-Androstene-3, 17-dione"			A					
A0254		4-Biphenylamine			A		CHEBI:1784			
A0255		4-Bromophenacyl bromide			A		MESHC:C006821			
A0256		4-Coumaric acid			A		CHEBI:36090			
A0257		4-Decenoyl-coenzyme A			A		MESHC:C018500			
A0258		4-Hydroxy-2-nonenal			A		CHEBI:32585			
A0259		4-Hydroxycyclophosphamide			A		CHEBI:1864			
A0260		4-Hydroxyestradiol-17beta			A		CHEBI:62845			
A0261		4-Hydroxymercuribenzoate			A		MESHC:C030601			
A0262		4-Hydroxyphenylacetaldehyde			A		CHEBI:15621			
A0263		4-Hydroxytamoxifen			A		CHEBI:44616			
A0264		4-Methylaminobutanal			A					
A0265		4-Methylnicotinamide			A		MESHC:C063648			
A0266		4-Nitrobenzylthioinosine			A		MESHC:C001789			
A0267		4-Nitroquinoline-1-oxide			A		CHEBI:16907			
A0268		4-O-Methyl-12-O-tetradecanoylphorbol 13-acetate			A		MESHC:C020922			
A0269		4-Phenylazophenylmaleimide			A		MESHC:C086886			
A0270		4-Phenylbutyric acid			A		CHEBI:41500			
A0271		4-Trimethylammoniobutanal			A		CHEBI:18020			
A0272		4-Trimethylammoniobutanoate			A		CHEBI:1941			
A0273		4-amidinoindan-1-one2prime-aminohydrazone			A					
A0274		"4-carboxycholesta-8(9),24-dien-3beta-ol"			A					
A0275		4-hydroxydebrisoquine			A		MESHC:C012359			
A0276		4-hydroxyphenytoin			A		CHEBI:63804			
A0277		4-hydroxytolbutamide			A		CHEBI:63799			
A0278		"4-methyl,4-carboxycholesta-8(9),24-dien-3beta-ol"			A					
A0279		"4-methylcholesta-8(9),24-dien-3-one"			A					
A0280		"4-methylcholesta-8(9),24-dien-3beta-ol"			A					
A0281		5'-Amino-5'-deoxyadenosine			A		MESHC:C057928			
A0282		5'-Guanylic acid			A		CHEBI:17345			
A0283		5'-Methylthioadenosine			A		CHEBI:17509			
A0284		"5,10-Methylenetetrahydrofolate"			A		CHEBI:12071			
A0285		"5,10-Methylenetetrahydrofolate polyglutamate"			A		CHEBI:61443			
A0286		"5,10-methenyltetrahydrofolate polyglutamate"			A		CHEBI:65050			
A0287		"5,6,7,8-Tetrahydrobiopterin"			A		CHEBI:15372			
A0288		"5,6-Dichloro-1-beta-D-ribofuranosylbenzimidazole-3',5'-monophosphorothioate"			A		MESHC:C071644			
A0289		"5,6-Dihydrothymine"			A		CHEBI:27468			
A0290		"5,6-dichloro-1-beta-D-ribofuranosyl benzimidazole 3prime,5prime-cyclic monophosphate"			A					
A0291		"5,8,11,14-Eicosatetraynoic acid"			A		MESHC:D015117			
A0292		5-Aminoimidazole-4-carboxamide-1-ribofuranosyl triphosphate			A		MESHC:C098395			
A0293		5-Aminopentanal			A					
A0294		5-Aza-2'-deoxycytidine-5'-monophosphate			A		MESHC:C041519			
A0295		5-Azacytosine			A		CHEBI:72474			
A0296		5-Benzyloxy-2-thiocyanatomethyl-4-pyranone			A		MESHC:C105766			
A0297		5-Carboxamidotryptamine			A		CHEBI:48292			
A0298		5-Fluoromethylornithine			A		MESHC:C057405			
A0299		5-HETE			A		CHEBI:60943			
A0300		"5-Heptenoic acid, 7-((1S,2R,4R,5S)-3-((1E,3S)-3-hydroxy-1-octenyl)-6-thiabicyclo(3.1.1)hept-2-yl)-, (5Z)-"			A					
A0301		"5-Hydroxy-6,8,11,14-eicosatetraenoic acid"			A		MESHC:C022022			
A0302		5-Hydroxyindoleacetaldehyde			A		CHEBI:50157			
A0303		5-Hydroxykynuramine			A		MESHC:C001402			
A0304		5-L-gamma-glutamyl amino acid			A					
A0305		5-Methylnicotinamide			A		MESHC:C024785			
A0306		5-Methyltetrahydrofolate			A		CHEBI:20612			
A0307		"5-alpha-Androstane-3-alpha,17-beta-diol"			A					
A0308		5-beta-cholestanoic acid			A					
A0309		5-fluorouracil			A		CHEBI:46345			
A0310		5-hydroxyomeprazole			A					
A0311		5-methyltetrahydrofolate polyglutamate			A					
A0312		"6,9-Dioxa-3,12-diazatetradecanedioic acid, 3,12-bis(carboxymethyl)-, disodium salt"			A					
A0313		6-(Bromomethylene)tetrahydro-3-(1-naphthaleneyl)-2H-pyran-2-one			A		MESHC:C068314			
A0314		6-Aminonicotinamide			A		CHEBI:74514			
A0315		6-Diazo-5-oxo-L-norleucine			A		MESHC:D003980			
A0316		6-Hydroxychlorzoxazone			A		MESHC:C039289			
A0317		6-Hydroxydopa			A		CHEBI:20725			
A0318		6-Ketoprostaglandin F1alpha			A		CHEBI:28158			
A0319		6-Mercaptopurine			A		CHEBI:50667			
A0320		"6-Methyl-1,3,8-trichlorodibenzofuran"			A		MESHC:C054923			
A0321		6-Phosphonoglucono-delta-lactone			A		CHEBI:16938			
A0322		6-bromoindirubin-3'-oxime			A		MESHC:C483321			
A0323		"6-formylindolo[3,2-b]carbazole"			A					
A0324		6-hydroxypaclitaxel			A		CHEBI:63859			
A0325		6beta-Hydroxytestosterone			A		CHEBI:34477			
A0326		"7,12-Dihydroxymethylbenz(a)anthracene"			A		MESHC:C046810			
A0327		"7,14-Diazadibenzo(a,h)pyrene"			A		MESHC:C019169			
A0328		"7,25-Dihydroxycholesterol"			A		MESHC:C057657			
A0329		7-(3-(3-Hydroxy-4-(4'-iodophenoxy)-1-butenyl)-7-oxabicyclo(2.2.1)heptan-2-yl)-5-heptenoic acid			A		MESHC:C061750			
A0330		7-Dehydrocholesterol			A		CHEBI:17759			
A0331		7-Ketocholesterol			A		CHEBI:64294			
A0332		7-hydroxyperoxy-cholesterol			A					
A0333		"8,11,14,17-Eicosatetraenoic"			A					
A0334		"8-((4-Chlorophenyl)thio)cyclic-3',5'-amp"			A		MESHC:C015929			
A0335		8-(4-chloro-phenylthio)-2'-O-methyladenosine-3'-5'-cyclic monophosphate			A		MESHC:C473217			
A0336		"8-4-Chlorophenylthioguanosine-3prime,5prime-cyclic monophosphorothioate"			A					
A0337		8-Bromo cyclic adenosine monophosphate			A		CHEBI:64211			
A0338		"8-Bromo-beta-phenyl-1,N(2)-ethenoguanosine 3',5'-cyclic monophosphorothioate"			A		MESHC:C098740			
A0339		8-Bromocyclic GMP			A		CHEBI:64108			
A0340		8-Hydroxy-2-(di-n-propylamino)tetralin			A		CHEBI:73364			
A0341		8-Hydroxydeoxyguanosine 5'-monophosphate			A		CHEBI:63223			
A0342		8-Hydroxyguanine			A		CHEBI:52617			
A0343		8-Isoprostane			A		CHEBI:33023			
A0344		8-Methyl-IQX			A					
A0345		"8-Oxo-7,8-dihydrodeoxyguanine"			A		MESHC:C078307			
A0346		8-Oxo-7-hydrodeoxyguanosine			A		CHEBI:40304			
A0347		8-Oxodeoxyguanosine triphosphate			A		CHEBI:63220			
A0348		8-Oxoguanosine 2'-phosphate			A		MESHC:C039543			
A0349		8-iso-Prostaglandin F2			A					
A0350		8-methoxymethyl-3-isobutyl-1-methylxanthine			A		MESHC:C119531			
A0351		"8-oxo-7,8-dihydro-2'-deoxyguanosine"			A		CHEBI:40304			
A0352		8S-hydroxyeicosatetraenoic acid			A					
A0353		"9,10-Dimethyl-1,2-benzanthracene"			A		CHEBI:254496			
A0354		"9,10-Epoxystearic acid"			A		MESHC:C013519			
A0355		"9,11-Linoleic acid"			A		MESHC:C046938			
A0356		"9,12-Octadecadienoic acid (Z,Z)-, ion(1-)"			A					
A0357		"9,13-Retinoic acid"			A		MESHC:C105492			
A0358		"9-Deoxy-9,10-didehydro-12,13-didehydro-13,14-dihydroprostaglandin D2"			A		CHEBI:28130			
A0359		"9-Deoxy-delta-9,12-prostaglandin D2"			A					
A0360		9-Deoxy-delta-9-prostaglandin D2			A		CHEBI:27485			
A0361		9-Ethyladenine			A		MESHC:C001172			
A0362		"9-Hydroxy-10,12-octadecadienoic acid"			A		MESHC:C024347			
A0363		"9-Octadecenoic acid (Z)-, ion(1-)"			A					
A0364		"9-cis,11-trans-Octadecadienoate"			A		CHEBI:17539			
A0365		9-cis-Retinal			A		MESHC:C031390			
A0366		9-hydroxyoctadecadienoic acid			A					
A0367		"A-Norpregn-20-yne-2,17-diol, 2-ethynyl-, (2-beta,5-alpha,17-alpha)- (9CI)"			A					
A0368		A291077			A					
A0369		A304000			A		MESHC:C557211			
A0370		ABT-263			A					
A0371		ACER1			A					
A0372		ADAM10 inhibitor			A					
A0373		ADP			A		CHEBI:16761			
A0374		ADP-D-ribosyl-acceptor			A					
A0375		AG 879			A		MESHC:C081020			
A0376		AG-490			A					
A0377		AGN 194204			A		MESHC:C430898			
A0378		AH 6809			A					
A0379		ALT-711			A					
A0380		AMP			A		CHEBI:16027			
A0381		AMPK inhibitor			A					
A0382		APPC			A		CHEBI:61718			
A0383		APT			A		MESHC:C071989			
